# At time x allocated y bytes for process z from i to j 
At time 2 allocated 200 bytes for process 1 from 0 to 255 
At time 3 freed 200 bytes for process 1 from 0 to 255 
At time 4 allocated 226 bytes for process 2 from 256 to 511 
At time 5 freed 226 bytes for process 2 from 256 to 511 
At time 5 allocated 215 bytes for process 3 from 0 to 255 
At time 5 allocated 210 bytes for process 4 from 768 to 1023 
At time 6 allocated 500 bytes for process 5 from 512 to 1023 
At time 6 freed 215 bytes for process 3 from 0 to 255 
At time 8 freed 210 bytes for process 4 from 768 to 1023 
At time 12 freed 500 bytes for process 5 from 512 to 1023 
